ENTNM,BONSA_ADDRESS,SCALE,company_kind,group,original_kind
(주)대성합동지주,서울특별시 종로구 인사동길 49 (관훈동),중견기업,비금융지주회사,9,(M71520)비금융 지주회사
삼환기업(주),서울특별시 종로구 율곡로 82,중견기업,도로건설업,9,(F41221)도로 건설업
(주)모토닉,서울특별시 종로구 사직로1길 50 (행촌동),중견기업,자동차신품부품제조업,12,(C30300)자동차 신품 부품 제조업
현대자동차(주),서울특별시 서초구 헌릉로 12 (양재동),대기업,승용차여객용자동차제조업,3,(C30121)승용차 및 기타 여객용 자동차 제조업
대성산업가스(주),서울특별시 구로구 경인로 662 12층,중견기업,산업용가스제조업,3,(C20121)산업용 가스 제조업
현대종합상사(주),서울시 종로구 율곡로2길 25 연합미디어센터빌딩 16층,중견기업,상품종합도매업,8,(G46800)상품 종합 도매업
현대건설(주),서울시 종로구 율곡로 75 현대건설빌딩,대기업,도로건설업,9,(F41221)도로 건설업
현대모비스(주),서울특별시 강남구 테헤란로 203 (역삼동),대기업,자동차신품부품제조업,12,(C30300)자동차 신품 부품 제조업
성신양회(주),서울시 종로구 인사동5길 29,중견기업,시멘트제조업,4,(C23311)시멘트 제조업
구산토건(주),서울특별시 강남구 논현로 752 (논현동),중견기업,지반조성건설업,3,(F41210)지반조성 건설업
(주)카프로,서울시 중구 을지로 51 교원내외빌딩 14F,중견기업,석탄화학계화합물기초유기화학물질제조업,8,(C20119)석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업
대한해운(주),서울시 강서구 마곡중앙8로 78 에스엠알엔디센터,중견기업,외항화물운송업,8,(H50112)외항 화물 운송업
최신물산(주),서울특별시 종로구 북촌로 61 (가회동),중견기업,편조의복제조업,3,(C14300)편조의복 제조업
한화호텔앤드리조트(주),"서울특별시 영등포구 63로 50 (여의도동, 63한화생명빌딩) 12층",대기업,휴양콘도운영업,10,(I55103)휴양콘도 운영업
(주)케이에스에스해운,서울시 종로구 인사동길 12 대일빌딩 8층,중견기업,외항화물운송업,8,(H50112)외항 화물 운송업
에스케이건설(주),서울특별시 종로구 인사동7길 32 (관훈동),대기업,토목시설물건설업,10,(F41229)기타 토목시설물 건설업
현대정보기술(주),서울특별시 금천구 가산디지털2로 179 (가산동),대기업,컴퓨터시스템통합자문구축서비스업,0,(J62021)컴퓨터시스템 통합 자문 및 구축 서비스업
(주)교원,"서울특별시 중구 을지로 51 (을지로2가), 내외빌딩",중견기업,방문판매업,15,(G47993)방문 판매업
(주)교원구몬,서울특별시 중구 을지로 51 (을지로2가),중견기업,일반서적출판업,3,(J58113)일반 서적 출판업
페더럴익스프레스코리아(주),서울시 마포구 양화로19 LIG합정빌딩,중견기업,통관대리관련서비스업,12,(H52991)통관 대리 및 관련서비스업
(주)머니투데이,"서울특별시 종로구 청계천로 11(서린동, 청계11빌딩)",중견기업,데이터베이스온라인정보제공업,0,(J63991)데이터베이스 및 온라인정보 제공업
(주)연합인포맥스,서울특별시 종로구 율곡로2길 25 (수송동)연합뉴스빌딩,중견기업,데이터베이스온라인정보제공업,0,(J63991)데이터베이스 및 온라인정보 제공업
(주)서현건설,경기도 용인시 수지구 신봉동 40-2 신봉종합상가 501호,중견기업,주거용건물개발공급업,7,(L68121)주거용 건물 개발 및 공급업
(주)이지메디컴,"서울특별시 서초구 강남대로 273 송남빌딩 9층, 10층",중견기업,전문도매업,15,(G46700)기타 전문 도매업
현대엔지니어링(주),서울특별시 종로구 율곡로 75 (계동),대기업,건물토목엔지니어링서비스업,12,(M72121)건물 및 토목 엔지니어링 서비스업
공항철도(주),인천광역시 서구 검바위로 46 (검암동),중견기업,교량터널철도건설업,12,"(F41222)교량, 터널 및 철도 건설업"
(주)현대종합설계건축사사무소,서울특별시 종로구 율곡로 75 현대빌딩 4층,대기업,건축설계관련서비스업,2,(M72111)건축설계 및 관련 서비스업
(주)케이티스,"서울시 영등포구 여의대로 14, KT빌딩 10층",대기업,데이터베이스온라인정보제공업,0,(J63991)데이터베이스 및 온라인정보 제공업
(주)한국디지털케이블미디어센터,경기도 수원시 팔달구 월드컵로 310 (우만동) 수원월드컵경기장,중견기업,유선방송업,8,(J60222)유선 방송업
(주)알앤알,대구광역시 동구 장등로 86 (신천동),중견기업,옥외시설물축조관련전문공사업,10,(F42139)기타 옥외 시설물 축조 관련 전문공사업
현대알루미늄(주),충청남도 논산시 가야곡면 원앙로 503번길117,중견기업,유리창호공사업,4,(F42420)유리 및 창호 공사업
(주)하나투어리스트,"서울특별시 종로구 인사동5길 41 (공평동), 하나빌딩8층",중견기업,여행사업,9,(N75210)여행사업
대신에이엠씨(주),"서울특별시 중구 삼일대로 343(저동 1가, 대신파이낸스센터 18층)",중견기업,금융업,11,(K64999)그 외 기타 분류 안된 금융업
센텀사이언스파크(주),부산광역시 해운대구 센텀중앙로 79 (우동),중견기업,비주거용건물임대업,8,(L68112)비주거용 건물 임대업
유코카캐리어스(주),"서울특별시 강남구 테헤란로 152 (역삼동, 강남파이낸스센터)24층",중견기업,외항화물운송업,8,(H50112)외항 화물 운송업
(주)와이비엠교육,서울특별시 종로구 창경궁로 112-7 (인의동)인의빌딩 5층,중견기업,일반서적출판업,3,(J58113)일반 서적 출판업
(주)티웨이항공,서울특별시 성동구 아차산로 153 (성수동2가),중견기업,항공여객운송업,12,(H51100)항공 여객 운송업
금호타이어(주),광주광역시 광산구 어등대로 658 (소촌동),중견기업,타이어튜브제조업,14,(C22111)타이어 및 튜브 제조업
(주)하나투어아이티씨,"서울특별시 종로구 삼봉로 71 (수송동), 지타워  5층",중견기업,여행사업,9,(N75210)여행사업
에스지아이신용정보(주),서울 양평구 목동서로159-1 cbs빌딩 19층,중견기업,신용조사추심대행업,12,(N75993)신용 조사 및 추심 대행업
에스케이디앤디(주),경기도 성남시 분당구 판교로 332 (삼평동) ECO Hub,대기업,비주거용건물개발공급업,7,(L68122)비주거용 건물 개발 및 공급업
아시아나세이버(주),서울특별시 종로구 새문안로 76 (신문로1가),대기업,데이터베이스온라인정보제공업,0,(J63991)데이터베이스 및 온라인정보 제공업
아쿠쉬네트코리아(주),"서울특별시 서초구 매헌로 16, 17층",중견기업,운동경기용품도매업,8,(G46464)운동 및 경기용품 도매업
폴라리스쉬핑(주),"서울특별시 중구 세종대로 17 (남대문로5가, WISETOWER) 20층",중견기업,외항화물운송업,8,(H50112)외항 화물 운송업
(주)삼성금거래소,"서울시 종로구 돈화문로6가길 16, 210호 (봉익동,세화빌딩)",중견기업,시계귀금속제품도매업,8,(G46492)시계 및 귀금속제품 도매업
(주)한국금거래소쓰리엠,서울특별시 종로구 돈화문로 37-1 (묘동),중견기업,귀금속관련제품제조업,10,(C33110)귀금속 및 관련제품 제조업
내트럭(주),서울특별시 중구 삼일대로 363,대기업,액체연료관련제품도매업,10,(G46712)액체연료 및 관련제품 도매업
충주보라매(주),서울특별시 종로구 새문안로 76 (신문로1가),대기업,주거용건물임대업,8,(L68111)주거용 건물 임대업
(주)지에스아이티엠,서울특별시 종로구 계동길 31 2층,대기업,시스템소프트웨어개발공급업,0,(J58221)시스템 소프트웨어 개발 및 공급업
(주)메타넷티플랫폼,서울특별시 종로구 청계천로85 삼일빌딩5층,중견기업,전문서비스업,2,(M71000)전문 서비스업
SK이노베이션(주),서울특별시 종로구 경희궁1길 33-26 (신문로2가)(서린동 SK빌딩),대기업,지주회사,16,(K64992)지주회사
(주)나눔로또,서울특별시 영등포구 국제금융로2길 32 여의도파이낸스타워 15층,중견기업,복권발행판매업,8,(R91241)복권발행 및 판매업
자라리테일코리아(주),"서울특별시 강남구 영동대로 511, 무역센터트레이드타워 20층 (삼성동)",중견기업,남자용겉옷소매업,8,(G47411)남자용 겉옷 소매업
대보인터내셔널쉬핑(주),서울시 종로구 새문안로3길 15 동원빌딩 7층,중견기업,외항화물운송업,8,(H50112)외항 화물 운송업
경호학사(주),서울특별시 종로구 새문안로 76 (신문로1가),중견기업,사업시설유지관리서비스업,12,(N74100)사업시설 유지.관리 서비스업
자이오엔엠(주),"서울특별시 강서구 양천로 401 (가양동, 강서한강자이타워) B동 15층",대기업,사업시설유지관리서비스업,12,(N74100)사업시설 유지.관리 서비스업
씨지앤대산전력(주),충청남도 서산시 대산읍 독곶1로 82,중견기업,전기업,9,(D35100)전기업
SK루브리컨츠(주),서울특별시 종로구 종로 26 (서린동) SK빌딩,대기업,윤활유그리스제조업,3,(C19221)윤활유 및 그리스 제조업
