0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1.0,0.78,0.809,0.888,0.832,0.538,0.402,0.826,0.887,0.767,0.891,0.59,0.881,0.514,0.874,0.822,0.549,0.351,0.539,0.537
0.78,1.0,0.701,0.871,0.817,0.646,0.483,0.796,0.846,0.808,0.878,0.541,0.797,0.512,0.935,0.831,0.474,0.33,0.434,0.51
0.809,0.701,1.0,0.875,0.859,0.717,0.496,0.75,0.821,0.847,0.858,0.776,0.939,0.607,0.833,0.86,0.591,0.37,0.547,0.59
0.888,0.871,0.875,1.0,0.902,0.715,0.552,0.911,0.96,0.9,0.984,0.703,0.947,0.567,0.972,0.923,0.555,0.377,0.498,0.614
0.832,0.817,0.859,0.902,1.0,0.753,0.498,0.821,0.855,0.907,0.908,0.761,0.921,0.57,0.912,0.858,0.63,0.4,0.592,0.604
0.538,0.646,0.717,0.715,0.753,1.0,0.575,0.6,0.656,0.847,0.72,0.734,0.72,0.445,0.737,0.731,0.486,0.303,0.382,0.551
0.402,0.483,0.496,0.552,0.498,0.575,1.0,0.473,0.52,0.556,0.556,0.542,0.498,0.325,0.546,0.577,0.272,0.338,0.246,0.462
0.826,0.796,0.75,0.911,0.821,0.6,0.473,1.0,0.949,0.804,0.938,0.546,0.877,0.482,0.897,0.871,0.422,0.365,0.377,0.479
0.887,0.846,0.821,0.96,0.855,0.656,0.52,0.949,1.0,0.869,0.977,0.65,0.933,0.552,0.942,0.946,0.496,0.376,0.416,0.533
0.767,0.808,0.847,0.9,0.907,0.847,0.556,0.804,0.869,1.0,0.903,0.795,0.919,0.659,0.897,0.907,0.671,0.372,0.573,0.628
0.891,0.878,0.858,0.984,0.908,0.72,0.556,0.938,0.977,0.903,1.0,0.687,0.954,0.587,0.976,0.939,0.543,0.403,0.498,0.58
0.59,0.541,0.776,0.703,0.761,0.734,0.542,0.546,0.65,0.795,0.687,1.0,0.754,0.628,0.644,0.761,0.635,0.183,0.567,0.64
0.881,0.797,0.939,0.947,0.921,0.72,0.498,0.877,0.933,0.919,0.954,0.754,1.0,0.671,0.921,0.924,0.611,0.4,0.57,0.568
0.514,0.512,0.607,0.567,0.57,0.445,0.325,0.482,0.552,0.659,0.587,0.628,0.671,1.0,0.533,0.633,0.588,0.149,0.659,0.381
0.874,0.935,0.833,0.972,0.912,0.737,0.546,0.897,0.942,0.897,0.976,0.644,0.921,0.533,1.0,0.907,0.537,0.39,0.483,0.568
0.822,0.831,0.86,0.923,0.858,0.731,0.577,0.871,0.946,0.907,0.939,0.761,0.924,0.633,0.907,1.0,0.53,0.375,0.453,0.602
0.549,0.474,0.591,0.555,0.63,0.486,0.272,0.422,0.496,0.671,0.543,0.635,0.611,0.588,0.537,0.53,1.0,0.166,0.69,0.445
0.351,0.33,0.37,0.377,0.4,0.303,0.338,0.365,0.376,0.372,0.403,0.183,0.4,0.149,0.39,0.375,0.166,1.0,0.232,0.239
0.539,0.434,0.547,0.498,0.592,0.382,0.246,0.377,0.416,0.573,0.498,0.567,0.57,0.659,0.483,0.453,0.69,0.232,1.0,0.449
0.537,0.51,0.59,0.614,0.604,0.551,0.462,0.479,0.533,0.628,0.58,0.64,0.568,0.381,0.568,0.602,0.445,0.239,0.449,1.0
